File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\SnapshotView.java,619,478,384,32,85,4,56,163,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\StartupView.java,145,98,77,4,34,1,13,33,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\_OLD_ContainerView.java,529,358,299,16,68,1,103,274,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\openManagePerspective.java,22,16,11,1,6,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\OpenSecond.java,26,18,13,1,7,0,1,4,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\openStartupPerspective.java,21,16,11,1,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\resetPerspectives.java,18,12,9,1,6,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowAssignFunctionsView.java,23,18,13,1,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowCompareSnapshotsView.java,22,18,13,1,4,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowContainerView.java,36,18,13,1,7,0,11,26,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowEventLogView.java,23,18,13,1,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowModulesView.java,23,18,13,1,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowSetStatsView.java,23,18,13,1,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowSnapshotView.java,23,17,12,1,5,0,1,2,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\ShowStartupView.java,24,19,14,1,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities\WorkbenchView.java,24,18,13,1,6,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\sidebar\ManageContainer.java,50,30,25,0,12,0,8,26,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addContainer\ContainerWizard.java,55,39,33,1,15,0,1,4,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addContainer\NewContainerWizard.java,20,15,12,1,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addContainer\Page1.java,99,74,63,7,18,0,7,17,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\NewDataSoure.java,21,15,12,1,6,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\Page1.java,175,142,114,16,25,0,8,21,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\Page2_MKS.java,157,121,105,13,27,1,9,25,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\Page2_Synergy.java,401,298,243,18,81,0,22,54,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\Page3_MKS.java,163,125,104,4,24,0,14,39,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\Page3_Synergy.java,245,198,151,15,34,0,13,37,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\Page4.java,42,25,22,0,10,0,7,17,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\Page4_Synergy.java,28,15,12,0,6,0,7,17,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource\ProjectWizard.java,142,104,85,19,34,0,4,11,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addSnapshot\Page1.java,361,281,232,18,64,0,16,46,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addSnapshot\SnapshotWizard.java,30,21,15,1,9,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addSnapshot\SnapshotWizardCommand.java,20,15,12,1,5,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\org\eclipse\wb\swt\ResourceManager.java,415,232,182,45,3,11,180,840,10,53
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\org\eclipse\wb\swt\SWTResourceManager.java,447,229,179,39,3,5,215,942,10,53
